step,loss
1,156.619995
2,139.137238
3,116.981255
4,96.752319
5,75.494347
6,57.253071
7,44.595688
8,37.656803
9,30.322601
10,27.874178
11,23.405537
12,21.710835
13,18.392342
14,16.454388
15,15.252607
16,16.363888
17,12.060538
18,12.130874
19,10.013302
20,9.823138
21,8.585223
22,8.715494
23,7.154568
24,7.120438
25,7.563715
26,6.923697
27,6.997784
28,6.239873
29,6.589947
30,6.038168
31,6.169067
32,5.969803
33,5.626239
34,5.773953
35,5.476028
36,5.505018
37,5.119394
38,7.476098
39,4.926863
40,4.792383
41,5.107886
42,5.221011
43,4.792407
44,4.595686
45,5.691499
46,5.245641
47,5.088168
48,4.871176
49,4.617254
50,4.953409
51,5.017124
52,4.432085
53,4.765063
54,4.413095
55,4.688335
56,4.468129
57,4.449887
58,4.255076
59,4.627913
60,4.534891
61,4.553773
62,4.293433
63,4.501040
64,4.262525
65,4.666489
66,4.155444
67,4.182610
68,4.040849
69,4.116455
70,4.171271
71,4.366250
72,4.066713
73,3.969120
74,4.048679
75,4.259645
76,4.038297
77,4.164903
78,3.994695
79,4.001909
80,4.015880
81,3.808473
82,4.040911
83,4.195412
84,3.980743
85,3.851861
86,4.111300
87,3.958552
88,3.850571
89,3.944583
90,4.012659
91,3.822002
92,4.021511
93,5.023573
94,3.865515
95,3.939290
96,3.949748
97,3.821032
98,3.878954
99,3.777271
100,3.760862
101,3.849079
102,3.865294
103,3.898242
104,3.716430
105,3.637724
106,4.120274
107,3.645117
108,3.639234
109,3.596147
110,3.716727
111,3.663781
112,3.729639
113,3.897196
114,3.405140
115,3.562739
116,3.668503
117,3.962023
118,3.710788
119,3.617228
120,3.530517
121,3.525990
122,3.864336
123,3.866706
124,3.735156
125,3.619022
126,3.590727
127,3.622794
128,3.659224
129,3.475537
130,3.609559
131,3.562469
132,3.627528
133,3.515320
134,3.506630
135,3.749870
136,3.563502
137,3.610751
138,3.626527
139,3.682685
140,3.405910
141,3.701768
142,3.530756
143,3.522491
144,3.543310
145,3.508933
146,3.499732
147,3.581887
148,3.594819
149,3.597402
150,3.545448
151,3.475281
152,3.422963
153,3.423239
154,3.562869
155,3.648640
156,3.714570
157,3.559261
158,3.500880
159,3.662564
160,3.367180
161,3.571237
162,3.565503
163,3.549533
164,3.421377
165,3.690571
166,3.411036
167,4.059703
168,3.442695
169,3.560430
170,3.401811
171,3.463171
172,3.465786
173,3.542683
174,3.257534
175,3.548965
176,3.646218
177,3.996178
178,3.641845
179,3.275129
180,3.338184
181,3.371931
182,3.626179
183,3.323551
184,3.407496
185,3.417791
186,3.675066
187,3.396768
188,3.362564
189,3.348272
190,3.450226
191,3.404705
192,3.386078
193,3.736621
194,3.487394
195,3.368198
196,3.456579
197,3.392198
198,3.486865
199,3.300740
200,3.396791
201,3.473490
202,3.468555
203,3.497998
204,3.268018
205,3.465766
206,3.352437
207,3.497264
208,3.324074
209,3.323851
210,3.255584
211,3.337508
212,3.325007
213,3.439968
214,3.321365
215,3.394770
216,3.228061
217,4.253077
218,3.365169
219,3.413725
220,3.536735
221,3.335511
222,3.393525
223,3.392103
224,3.297678
225,3.181648
226,3.595848
227,3.468635
228,3.249737
229,3.275166
230,3.177656
231,3.341626
232,3.347441
233,3.362061
234,3.396588
235,3.158708
236,3.458803
237,3.326145
238,3.955426
239,3.233695
240,3.411639
241,3.305297
242,3.267007
243,3.277655
244,3.245179
245,3.295264
246,3.324065
247,3.296653
248,3.336612
249,3.319219
250,3.281962
251,3.206942
252,3.334764
253,3.560307
254,3.340227
255,3.558471
256,3.213316
257,3.276388
258,3.267832
259,3.273605
260,3.395751
261,3.277318
262,3.210522
263,3.132882
264,3.267539
265,3.221963
266,3.220155
267,3.252623
268,3.305420
269,3.208936
270,3.129730
271,3.163740
272,3.344052
273,3.238085
274,3.231324
275,3.493201
276,3.290593
277,3.176118
278,3.202019
279,3.142975
280,3.292145
281,3.299446
282,3.209939
283,3.268600
284,3.227495
285,3.224907
286,3.234107
287,3.578980
288,3.221710
289,3.417596
290,3.203971
291,3.166770
292,3.587082
293,3.259410
294,3.842907
295,3.167430
296,3.627441
297,3.167273
298,3.185352
299,3.338461
300,3.151852
301,3.361912
302,3.180987
303,3.246302
304,3.244410
305,3.147224
306,3.228029
307,3.164624
308,3.072927
309,3.136285
310,3.162998
311,3.263597
312,3.190609
313,3.189678
314,4.071206
315,3.186366
316,3.212255
317,3.271907
318,3.166195
319,3.151253
320,3.160804
321,3.171247
322,3.139360
323,3.103806
324,3.219762
325,3.252365
326,3.237692
327,3.173725
328,3.104496
329,3.254550
330,3.301814
331,3.179227
332,3.145161
333,3.095789
334,3.228717
335,3.116627
336,3.172627
337,3.204501
338,3.378598
339,3.200237
340,3.241450
341,3.432581
342,3.143558
343,3.120352
344,3.132087
345,3.124787
346,3.302329
347,3.116728
348,3.248690
349,3.098957
350,3.065920
351,3.089672
352,3.079406
353,3.360685
354,3.192651
355,3.183231
356,3.137108
357,3.092914
358,3.222234
359,3.210080
360,3.156447
361,3.180931
362,3.212562
363,3.183930
364,3.258401
365,3.091179
366,3.180017
367,3.033115
368,2.994133
369,3.053591
370,3.044136
371,3.237529
372,3.121949
373,3.267331
374,3.104155
375,3.059131
376,3.198325
377,3.298545
378,3.327981
379,3.106993
380,3.228105
381,3.139527
382,3.207193
383,3.399581
384,3.211495
