step,loss
1,170.925079
2,148.793503
3,124.576927
4,103.997292
5,86.936172
6,74.213623
7,63.610001
8,55.734558
9,49.841656
10,44.701065
11,40.476334
12,36.624290
13,32.574257
14,30.029451
15,27.474457
16,25.227551
17,23.477188
18,22.360781
19,20.662357
20,19.206631
21,18.028976
22,16.533049
23,15.945042
24,14.094927
25,13.262176
26,13.207928
27,11.543497
28,11.141400
29,10.192230
30,9.725149
31,9.525282
32,8.985126
33,8.359571
34,8.016184
35,7.903986
36,7.263180
37,7.174981
38,6.934816
39,6.612859
40,6.431325
41,6.518268
42,6.008387
43,5.646549
44,6.596829
45,5.446235
46,5.404566
47,5.768865
48,4.918332
49,4.841105
50,4.491298
51,4.750577
52,4.875390
53,4.613996
54,4.395865
55,4.795554
56,3.995786
57,4.567874
58,4.204268
59,4.152641
60,4.461067
61,3.909836
62,4.494833
63,4.700871
64,4.109459
65,3.843681
66,3.797110
67,3.862911
68,4.608742
69,3.896768
70,3.905889
71,3.911915
72,3.554090
73,3.774795
74,3.671100
75,3.656729
76,3.464991
77,3.568888
78,3.607646
79,3.367061
80,3.517487
81,3.712297
82,3.330085
83,3.586530
84,3.692170
85,3.380977
86,3.258443
87,3.393589
88,3.373147
89,3.178760
90,3.316964
91,3.898753
92,3.309015
93,3.164436
94,3.022283
95,3.224077
96,3.127192
97,3.126582
98,3.179378
99,3.106690
100,3.039361
101,3.074777
102,3.448282
103,3.184408
104,3.199709
105,3.174047
106,3.151955
107,3.242967
108,3.085515
109,3.041529
110,4.190633
111,3.016095
112,2.979180
113,2.920480
114,3.035932
115,3.345894
116,3.084147
117,3.124231
118,3.032485
119,3.042065
120,2.999901
121,3.331771
122,3.063324
123,3.032940
124,3.064534
125,2.873142
126,3.046553
127,2.846787
128,2.832504
129,2.861560
130,2.826256
131,2.813605
132,2.855863
133,3.008043
134,2.892477
135,2.820328
136,2.836244
137,2.907950
138,2.863556
139,2.966964
140,2.879773
141,3.649356
142,2.741233
143,3.055432
144,2.878780
145,2.947701
146,2.969642
147,2.923164
148,2.787241
149,3.516358
150,2.775086
151,2.687945
152,2.796300
153,2.848288
154,2.990979
155,2.843295
156,2.685630
157,2.894476
158,2.705260
159,2.759096
160,2.715016
161,2.761937
162,2.865731
163,2.738901
164,2.673961
165,2.738235
166,2.775923
167,2.797503
168,2.631984
169,2.705654
170,2.664734
171,2.777756
172,2.613734
173,2.694413
174,2.682071
175,2.669711
176,2.632365
177,2.747105
178,2.621029
179,2.737550
180,2.627224
181,2.656026
182,2.660632
183,3.315171
184,2.732632
185,2.915926
186,2.743380
187,2.754852
188,2.598494
189,2.793509
190,2.847840
191,2.678052
192,2.677450
193,2.690943
194,2.971448
195,2.732902
196,2.488338
197,2.644160
198,2.538733
199,2.593744
200,2.631332
201,2.646644
202,2.729487
203,2.586992
204,2.870200
205,2.582737
206,2.573729
207,2.661697
208,2.653729
209,2.670468
210,2.566444
211,2.589872
212,2.631185
213,2.564594
214,2.609279
215,2.740004
216,3.495702
217,2.464533
218,2.566973
219,2.554041
220,2.584492
221,2.588859
222,2.568933
223,2.602239
224,2.611042
225,2.503294
226,2.524294
227,2.547542
228,2.658272
229,2.459346
230,2.480212
231,2.640485
232,2.467968
233,2.674836
234,2.563561
235,2.583494
236,2.573124
237,2.532092
238,2.583900
239,2.541996
240,2.558443
241,2.595076
242,2.534948
243,2.546169
244,2.559248
245,2.480444
246,2.590932
247,2.486679
248,2.504218
249,2.622194
250,2.656874
251,2.488520
252,2.452055
253,2.470719
254,2.599760
255,2.505168
256,2.517818
257,2.548909
258,2.658376
259,2.498455
260,2.544090
261,2.472057
262,2.530861
263,2.497573
264,2.497725
265,2.613411
266,2.440116
267,2.488820
268,2.481994
269,2.735243
270,2.636067
271,2.616760
272,2.543728
273,2.466496
274,2.445199
275,2.592878
276,2.541372
277,2.443546
278,2.632204
279,2.485353
280,2.532472
281,2.487157
282,2.493295
283,2.657780
284,2.503907
285,2.925469
286,2.502007
287,2.564960
288,2.501782
289,2.539258
290,2.416063
291,2.491602
292,2.451988
293,2.595249
294,2.471321
295,2.494384
296,2.368046
297,2.791961
298,2.718045
299,2.616867
300,2.528406
301,2.515324
302,2.470845
303,2.578407
304,2.541767
305,2.434902
306,2.362366
307,2.427177
308,2.412899
309,3.275810
310,2.547042
311,2.430525
312,2.567729
313,2.452842
314,2.514488
315,2.401096
316,2.429862
317,2.423580
318,2.605397
319,2.410884
320,2.528386
321,2.353306
322,2.413729
323,2.654126
324,2.425490
325,2.402833
326,2.358477
327,2.382560
328,2.377056
329,2.486578
330,2.511156
331,2.435591
332,2.365418
333,2.464078
334,2.460697
335,2.519842
336,2.408090
337,2.457637
338,2.540323
339,2.525728
340,2.510651
341,2.533592
342,2.367504
343,2.408236
344,2.491794
345,2.401472
346,2.518863
347,2.492084
348,2.423757
349,2.530150
350,2.363794
351,2.622237
352,2.472240
353,2.365208
354,2.508162
355,2.417040
356,2.628966
357,2.375790
358,2.398660
359,2.464445
360,2.402384
361,2.551438
362,2.402691
363,2.502364
364,3.132223
365,2.533924
366,2.364753
367,2.313436
368,2.319037
369,2.373055
370,2.359362
371,2.403494
372,2.421509
373,2.538686
374,2.417628
375,2.473788
376,2.499430
377,2.474672
378,2.365112
379,2.408618
380,2.459781
381,2.415966
382,2.395094
383,2.376299
384,2.435394
385,2.325838
386,2.424819
387,2.447897
388,2.381392
389,2.375181
390,2.429918
391,2.327977
392,2.330127
393,2.486230
394,2.453171
395,2.323570
396,2.429631
397,2.403852
398,2.473231
399,2.423107
400,2.448508
401,2.383388
402,2.418262
403,2.335055
404,2.334892
405,2.390421
406,2.421385
407,2.370858
408,2.383089
409,2.415797
410,2.352454
411,2.364719
412,2.449449
413,2.387843
414,2.459679
415,2.323906
416,2.275891
417,2.359850
418,2.357224
419,2.384111
420,2.463363
421,2.283205
422,2.308169
423,2.361023
424,2.275171
425,2.382832
426,2.542366
427,2.332731
428,2.305418
429,2.429617
430,2.312919
431,2.504518
432,2.417534
433,2.319196
434,2.363144
435,2.298677
436,2.326973
437,2.320339
438,2.229974
439,2.482956
440,2.422497
441,2.341941
442,2.343186
443,2.384171
444,2.368946
445,2.418200
446,2.343397
447,2.399815
448,2.424711
449,2.463786
450,2.530028
451,2.670406
452,2.361118
453,2.317570
454,2.440743
455,2.317046
456,2.339248
457,2.426745
458,2.359283
459,2.291970
460,2.361291
461,2.319288
462,2.334484
463,2.340548
464,2.276133
465,2.310251
466,2.483819
467,2.344589
468,2.276720
469,2.373363
470,2.551077
471,2.188367
472,2.359345
473,2.278121
474,2.584170
475,2.332397
476,2.584690
477,2.493918
478,2.225699
479,2.237639
480,2.256248
481,2.338689
482,2.396397
483,2.298764
484,2.330592
485,2.461772
486,2.242711
487,2.390396
488,2.323695
489,2.292679
490,2.287709
491,2.266383
492,2.355669
493,2.367690
494,2.308201
495,2.393569
496,2.603143
497,2.214644
498,2.468334
499,2.256571
500,2.382888
501,2.457687
502,2.278032
503,2.451202
504,2.523866
505,2.356102
506,2.186523
507,2.342062
508,2.364370
509,2.403700
510,2.246127
511,2.356762
512,2.431286
513,2.240412
514,2.315133
515,2.330423
516,2.226140
517,2.259628
518,2.316412
519,2.293374
520,2.334218
521,2.293108
522,2.173051
523,2.276016
524,2.470513
525,2.561876
526,2.264394
527,2.311500
528,2.398026
529,2.264876
530,2.290966
531,2.339005
532,2.224707
533,2.379016
534,2.230841
535,2.307180
536,2.238766
537,2.223030
538,2.397476
539,2.193107
540,2.292553
541,2.274517
542,2.262712
543,2.272357
544,2.264956
545,2.239382
546,2.384864
547,2.218192
548,2.306844
549,2.288198
550,2.219044
551,2.290931
552,2.249121
553,2.313943
554,2.290603
555,2.240429
556,2.183310
557,2.292209
558,2.345101
559,2.265286
560,2.186838
561,2.413162
562,2.328073
563,2.206772
564,2.401747
565,2.257003
566,2.215267
567,2.213861
568,2.288826
569,2.275016
570,2.237405
571,2.243497
572,2.255144
573,2.335621
574,2.475599
575,2.371979
576,2.238529
577,2.248681
578,2.248332
579,2.266940
580,2.251619
581,2.357300
582,2.263029
583,2.291839
584,2.159866
585,2.275834
586,2.327328
587,2.204543
588,2.238228
589,2.285746
590,2.246404
591,2.263511
592,2.203044
593,2.305295
594,2.215863
595,2.202437
596,2.254942
597,2.350904
598,2.260017
599,2.142054
600,2.308603
601,2.158999
602,2.242815
603,2.187308
604,2.212849
605,2.193331
606,2.264746
607,2.203678
608,2.204750
609,2.319166
610,2.265344
611,2.249436
612,2.134463
613,2.261816
614,2.503673
615,2.261622
616,2.199217
617,2.229847
618,2.280778
619,2.187070
620,2.150148
621,2.225143
622,2.221982
623,2.281813
624,2.214385
625,2.304167
626,2.310924
627,2.304983
628,2.250739
629,2.305671
630,2.205140
631,2.288604
632,2.201446
633,2.210924
634,2.275113
635,2.249710
636,2.323832
637,2.233963
638,2.220417
639,2.384784
640,2.230104
641,2.247367
642,2.184305
643,2.528354
644,2.284861
645,2.237813
646,2.296072
647,2.295555
648,2.268718
649,2.174442
650,2.213645
651,2.262910
652,2.252303
653,2.304193
654,2.311688
655,2.223900
656,2.231806
657,2.354502
658,2.258742
659,2.135952
660,2.202575
661,2.125455
662,2.163734
663,2.287899
664,2.227970
665,2.301573
666,2.173173
667,2.181891
668,2.244942
669,2.225227
670,2.122753
671,2.081334
672,2.200591
673,2.315907
674,2.113707
675,2.302830
676,2.132559
677,2.250499
678,2.271997
679,2.408533
680,2.219415
681,2.203896
682,2.222678
683,2.335693
684,2.163932
685,2.280086
686,2.125271
687,2.146279
688,2.210911
689,2.271312
690,2.211704
691,2.202547
692,2.164566
693,2.121192
694,2.318394
695,2.143797
696,2.398912
697,2.170676
698,2.105050
699,2.251218
700,2.205592
701,2.182405
702,2.156681
703,2.222270
704,2.290839
705,2.158453
706,2.268756
707,2.226313
708,2.201725
709,2.323426
710,2.159522
711,2.193336
712,2.159808
713,2.214952
714,2.421330
715,2.335179
716,2.294625
717,2.259537
718,2.184680
719,2.229389
720,2.262352
721,2.322726
722,2.231715
723,2.151927
724,2.332434
725,2.139822
726,2.231473
727,2.192933
728,2.223514
729,2.256442
730,2.149733
731,2.181709
732,2.415028
733,2.029108
734,2.185822
735,2.172599
736,2.169785
737,2.232729
738,2.310114
739,2.175500
740,2.283660
741,2.341365
742,2.222385
743,2.183055
744,2.375587
745,2.115654
746,2.165361
747,2.286097
748,2.145281
749,2.118522
750,2.169854
751,2.117477
752,2.202524
753,2.106558
754,2.113047
755,2.135354
756,2.164699
757,2.192088
758,2.222195
759,2.304060
760,2.107471
761,2.123950
762,2.386878
763,2.150922
764,2.256113
765,2.237607
766,2.091079
767,2.225628
768,2.292306
769,2.127666
770,2.206008
771,2.185037
772,2.248401
773,2.151581
774,2.156551
775,2.224756
776,2.229140
777,2.561304
778,2.202568
779,2.160188
780,2.201869
781,2.140743
782,2.238403
783,2.272861
784,2.033076
785,2.231393
786,2.235776
787,2.175915
788,2.131558
789,2.099071
790,2.169339
791,2.107968
792,2.319317
793,2.147291
794,2.146248
795,2.197350
796,2.106297
797,2.113072
798,2.167741
799,2.224940
800,2.186514
801,2.129782
802,2.106251
803,2.176837
804,2.095325
805,2.234794
806,2.306993
807,2.108003
808,2.196525
809,2.123811
810,2.185687
811,2.132769
812,2.110566
813,2.165413
814,2.280088
815,2.186723
816,2.210225
817,2.135637
818,2.058539
819,2.191036
820,2.104201
821,2.148385
822,2.323017
823,2.271042
824,2.208403
825,2.236398
826,2.102686
827,2.228189
828,2.194918
829,2.320319
830,2.175902
831,2.163444
832,2.317281
833,2.188079
834,2.165401
835,2.145986
836,2.226700
837,2.236635
838,2.183514
839,2.121896
840,2.099543
841,2.181138
842,2.118236
843,2.266707
844,2.140951
845,2.092382
846,2.090272
847,2.125652
848,2.146734
849,2.177235
850,2.211218
851,2.108475
852,2.091656
853,2.163702
854,2.166632
855,2.033064
856,2.141954
857,2.142210
858,2.115168
859,2.157704
860,2.050100
861,2.263703
862,2.114994
863,2.079125
864,2.125132
865,2.163848
866,2.086402
867,2.106462
868,2.074055
869,2.101317
870,2.273720
871,2.206761
872,2.169627
873,2.106333
874,2.240752
875,2.242862
876,2.182223
877,2.105449
878,2.072860
879,2.146134
880,2.182533
881,2.113855
882,2.187296
883,2.169805
884,2.177965
885,2.093383
886,2.101827
887,2.078235
888,2.317604
889,1.997429
890,2.105289
891,2.160992
892,2.086111
893,2.104789
894,2.090519
895,2.127465
896,2.086864
897,2.391762
898,2.039433
899,2.072459
900,2.071398
901,2.435361
902,2.178137
903,2.030019
904,2.121528
905,2.121838
906,2.094571
907,2.029398
908,2.093333
909,2.157642
910,2.072105
911,2.195089
912,2.139840
913,2.078219
914,2.208531
915,2.194538
916,2.092013
917,2.155123
918,2.264184
919,2.247747
920,2.191948
921,2.082292
922,2.120172
923,2.258679
924,2.088894
925,2.213157
926,2.235276
927,2.049310
928,2.065269
929,2.062328
930,2.158583
931,2.043485
932,2.107066
933,2.100475
934,2.130265
935,2.142892
936,2.077299
937,2.079456
938,2.080888
939,2.212412
940,2.150795
941,2.200919
942,2.057229
943,2.176368
944,2.092720
945,2.258711
946,2.203999
947,2.057496
948,2.147027
949,2.084096
950,2.239197
951,2.133073
952,2.117174
953,2.098485
954,2.144707
955,2.022269
956,2.109102
957,2.103238
958,2.084424
959,2.100430
960,2.141241
961,2.172672
962,2.132324
963,2.127215
964,2.215137
965,2.084692
966,2.114973
967,2.122381
968,2.201881
969,2.131107
970,2.073943
971,2.167246
972,2.153022
973,2.086604
974,2.132101
975,2.001064
976,2.152073
977,2.103979
978,2.151548
979,2.063087
980,2.131898
981,2.176942
982,2.065114
983,2.259588
984,2.091471
985,2.228218
986,2.117824
987,2.127395
988,2.179064
989,2.000479
990,2.068710
991,2.047433
992,2.057277
993,2.090781
994,2.069549
995,2.043645
996,2.057949
997,2.173742
998,2.097857
999,1.950102
1000,2.204224
